creator_id,creator_name,creator_nickname,region,product_categories,follower_cnt,creator_oecuid,主页
7147970252760138758,williamsoh4,Williams,GB,,0,7494767075182020882,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7147970252760138758&pair_source=author_recommend&enter_from=affiliate_home_page
7153894356373308422,alin_aries,user00568371985,GB,,0,7494785649836460291,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7153894356373308422&pair_source=author_recommend&enter_from=affiliate_home_page
7153071743183127557,ouo3312,user8067251395242,GB,,0,7494783006924703962,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7153071743183127557&pair_source=author_recommend&enter_from=affiliate_home_page
7158041301782791174,yingguode9,user52484271594,GB,,0,7494798567646595235,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7158041301782791174&pair_source=author_recommend&enter_from=affiliate_home_page
7153235514090701829,gobuygo,user89219336613,GB,,0,7494783489728547276,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7153235514090701829&pair_source=author_recommend&enter_from=affiliate_home_page
7152763419137164294,alyssa_slippers,alyssa11,GB,,0,7494782031479539822,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7152763419137164294&pair_source=author_recommend&enter_from=affiliate_home_page
7153055025341350918,angelh5379,user90665259952,GB,,0,7494782965446969765,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7153055025341350918&pair_source=author_recommend&enter_from=affiliate_home_page
7152750863487255558,verda_gaiety,user32915360862,GB,,0,7494781995589732611,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7152750863487255558&pair_source=author_recommend&enter_from=affiliate_home_page
7152751384692999173,eva_divined,user13520818605,GB,,0,7494781995252943228,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7152751384692999173&pair_source=author_recommend&enter_from=affiliate_home_page
7152785689376228379,scottm777,scottm777,GB,,0,7494782092601428143,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7152785689376228379&pair_source=author_recommend&enter_from=affiliate_home_page
