creator_id,creator_name,creator_nickname,region,product_categories,follower_cnt,creator_oecuid,主页
6969134737022780422,madeinhome_mil,Made In Home,GB,女装与女士内衣|居家日用|鞋靴,2111,7494131907783330590,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6969134737022780422&pair_source=author_recommend&enter_from=affiliate_home_page
146470183954571264,paigehalewood,Paige Halewood 🤍,GB,女装与女士内衣|运动与户外|箱包,4372,7493997523065997787,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=146470183954571264&pair_source=author_recommend&enter_from=affiliate_home_page
6961448139547018246,uglowgirls,💅,GB,运动与户外|女装与女士内衣|美妆个护,2141,7494103285524039731,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6961448139547018246&pair_source=author_recommend&enter_from=affiliate_home_page
6573188896476135429,notphoebekate,notphoebekate,GB,女装与女士内衣|美妆个护,1327,7493993901065865337,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6573188896476135429&pair_source=author_recommend&enter_from=affiliate_home_page
7152924405369472005,se7584,se7584,GB,女装与女士内衣|运动与户外|穆斯林时尚,1465,7494782544958819033,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7152924405369472005&pair_source=author_recommend&enter_from=affiliate_home_page
6532063794259034114,kerysnashx,Kerys Nash,GB,女装与女士内衣,2802,7494164907486185833,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6532063794259034114&pair_source=author_recommend&enter_from=affiliate_home_page
6976734860850709510,lavishly.buys,LavishlyBuys🥷🎄,GB,男装与男士内衣|鞋靴|女装与女士内衣,4688,7494155012574907236,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6976734860850709510&pair_source=author_recommend&enter_from=affiliate_home_page
6776512951860921350,fnddolly,Life with Lucy & Dolly shop,GB,美妆个护|女装与女士内衣|鞋靴,2615,7494025960465401504,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6776512951860921350&pair_source=author_recommend&enter_from=affiliate_home_page
6877196655772173314,filippafalcone,Filippa Falcone,GB,美妆个护|女装与女士内衣|时尚配件,1525,7493991129193481707,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6877196655772173314&pair_source=author_recommend&enter_from=affiliate_home_page
7156208610107704326,heafeya,Heafeya,GB,女装与女士内衣|运动与户外|男装与男士内衣,1308,7494793012034767312,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7156208610107704326&pair_source=author_recommend&enter_from=affiliate_home_page
7109439112423638022,happycamel_,gzdf7,GB,女装与女士内衣|男装与男士内衣|鞋靴,1372,7494664135836469556,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7109439112423638022&pair_source=author_recommend&enter_from=affiliate_home_page
7102694175677957125,hollandduet5,spidermanduet5,GB,手机与数码|运动与户外,1785,7494647826319837880,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7102694175677957125&pair_source=author_recommend&enter_from=affiliate_home_page
6904019051795940354,chloejaynep2,Chloe Pilbeam,GB,玩具与乐器|女装与女士内衣|箱包,1606,7493992751704474815,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6904019051795940354&pair_source=author_recommend&enter_from=affiliate_home_page
6782126774757131269,s_jarnold_,S🦋,GB,美妆个护|女装与女士内衣|手机与数码,3614,7493991368357742686,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6782126774757131269&pair_source=author_recommend&enter_from=affiliate_home_page
6822579561557967877,bija.g.m,Bija,GB,食品饮料|运动与户外|家纺布艺,2991,7494011377063593974,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6822579561557967877&pair_source=author_recommend&enter_from=affiliate_home_page
7138023028144047109,ukshopping777,UKshopping777,GB,家装建材|居家日用,1723,7494736038113675808,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7138023028144047109&pair_source=author_recommend&enter_from=affiliate_home_page
7102416751475868677,happycamel_4,dfkj37,GB,女装与女士内衣|男装与男士内衣|母婴用品,1404,7494647222933817959,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7102416751475868677&pair_source=author_recommend&enter_from=affiliate_home_page
6830770672526083078,courtn3yt123,✨Courtney✨,GB,母婴用品|玩具与乐器|儿童时尚,1360,7493991378159372732,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6830770672526083078&pair_source=author_recommend&enter_from=affiliate_home_page
